Theft,Low,Up,Normalized,Points
13996,0,18,0.036714479082505275,1
211804,18,30,0.5556068539290474,5
120064,30,45,0.31495335928564683,3
33224,45,60,0.08715360481831631,1
2124,60,100,0.005571702884484224,1
