total,Low,Up,Normalized,Points
33793,0,18,0.011049104150550052,1
1400925,18,30,0.45805244376377746,5
1098153,30,45,0.3590568126605803,4
469834,45,60,0.15361893881778868,2
55733,60,100,0.018222700607303466,1
