Arson,Low,Up,Normalized,Points
88,0,18,0.0072024881322638725,1
5369,18,30,0.4394336225241447,5
4965,30,45,0.40636765428056965,5
1650,45,60,0.13504665247994763,2
146,60,100,0.011949582583074153,1
