Robbery,Low,Up,Normalized,Points
4834,0,18,0.03547291099484124,1
77593,18,30,0.5693937904060232,5
42388,30,45,0.31105207928202944,3
10785,45,60,0.07914260345042672,1
673,60,100,0.004938615866679387,1
