Missing,Low,Up,Normalized,Points
1718,0,18,0.014467612086098293,1
69920,18,30,0.5888099167985987,5
36078,30,45,0.30381985380806414,3
10484,45,60,0.08828780274194091,1
548,60,100,0.004614814565297942,1
