Fraud,Low,Up,Normalized,Points
231,0,18,0.0019135981443896782,1
43996,18,30,0.36446174874704884,5
50436,30,45,0.4178105454997308,5
23701,45,60,0.19633848320424138,3
2351,60,100,0.01947562440458932,1
