Murder,Low,Up,Normalized,Points
1179,0,18,0.011237882817191387,1
46771,18,30,0.44580747857748804,5
37488,30,45,0.357324640416345,5
17339,45,60,0.16527027155833882,2
2136,60,100,0.02035972663063681,1
