Harrassment,Low,Up,Normalized,Points
1093,0,18,0.005067857358130133,1
101892,18,30,0.4724374400133535,5
73885,30,45,0.34257881144139507,4
32622,45,60,0.15125676371173025,2
6181,60,100,0.028659127475390987,1
