Others,Low,Up,Normalized,Points
7760,0,18,0.00657466652206919,1
514369,18,30,0.435799567563171,5
435032,30,45,0.36858122763257783,5
200534,45,60,0.16990260004337923,2
22593,60,100,0.019141938238802732,1
