,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,0,0,0,4,0,0,0,0,0,0,0,0,0,4
Male Between 18-30 Years,54,44,162,177,282,5,14,5,41,18,0,0,218,794
Male Between 30-45 Years,53,32,84,110,166,6,35,3,55,24,0,1,221,673
Male Between 45-60 Years,8,8,20,37,22,3,18,1,23,10,0,0,63,191
Male Above 60 Years,1,0,0,2,4,0,3,0,3,0,0,0,10,22
Male Total,116,84,266,330,474,14,70,9,122,52,0,1,512,1684
Grand Total,119,92,300,335,486,21,81,9,142,55,0,1,546,1797
