,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,40,0,128,360,504,99,2,10,523,73,0,25,581,2093
Male Between 18-30 Years,538,230,656,1610,3824,2357,330,135,8887,2080,0,936,11416,31204
Male Between 30-45 Years,374,1010,244,793,1980,1990,565,78,6037,1220,0,768,10858,24787
Male Between 45-60 Years,181,1150,30,200,554,785,236,26,2674,443,0,262,3671,9573
Male Above 60 Years,19,0,0,29,86,164,11,6,508,122,0,28,759,1725
Male Total,1152,2390,1058,2992,6948,5395,1144,255,18629,3938,0,2019,27285,69382
Grand Total,1250,2428,1148,3024,7064,5720,1235,264,19947,4665,0,2022,28384,73321
