,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,82,124,34,314,872,2,21,2,110,28,0,3,339,1513
Male Between 18-30 Years,738,1098,902,2052,10786,243,841,35,1617,1330,0,238,9238,23329
Male Between 30-45 Years,363,414,240,690,3764,121,845,10,935,680,0,208,5470,11753
Male Between 45-60 Years,54,50,8,30,494,14,204,0,224,78,0,55,1615,2578
Male Above 60 Years,9,10,4,17,18,2,16,0,15,10,0,8,114,213
Male Total,1246,1696,1188,3103,15934,382,1927,47,2901,2126,0,512,16776,39386
Grand Total,1343,1784,1306,3142,16238,388,2052,47,3092,2196,0,514,17350,40775
