,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,35,88,48,188,356,80,11,1,158,22,0,1,208,963
Male Between 18-30 Years,1210,1138,1398,3159,7386,2398,718,92,2950,2230,0,263,9509,28324
Male Between 30-45 Years,977,468,578,1342,3230,1967,869,127,2595,1182,0,537,10281,22880
Male Between 45-60 Years,465,92,156,322,940,786,407,28,1104,601,0,158,4510,9298
Male Above 60 Years,49,10,4,2,36,94,45,3,239,154,0,27,465,1151
Male Total,2736,1796,2184,5013,11948,5325,2050,251,7046,4189,0,986,24973,62616
Grand Total,2884,1880,2260,5041,12248,5551,2157,251,7513,4862,0,989,25483,65108
