,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male Between 18-30 Years,0,0,0,2,0,0,0,0,2,1,0,0,8,13
Male Between 30-45 Years,0,0,0,1,0,0,0,0,2,0,0,0,10,13
Male Between 45-60 Years,0,0,0,0,0,0,0,0,1,0,0,0,1,2
Male Above 60 Years,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Male Total,0,0,0,3,0,0,0,0,5,1,0,0,21,30
Grand Total,0,0,0,3,0,0,0,0,5,1,0,0,21,30
