,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,1,50,0,26,36,0,1,2,0,2,0,0,20,97
Male Between 18-30 Years,26,178,126,143,402,0,43,29,64,39,0,33,332,1113
Male Between 30-45 Years,16,100,54,66,178,0,58,9,49,15,0,28,196,640
Male Between 45-60 Years,3,32,0,4,6,0,1,2,11,1,0,9,44,97
Male Above 60 Years,0,2,0,0,0,0,0,0,0,0,0,0,1,4
Male Total,46,362,180,239,622,0,103,42,124,57,0,70,593,1951
Grand Total,48,364,188,241,624,0,108,42,127,59,0,70,604,1984
