,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,22,172,32,186,432,55,6,2,88,20,0,8,156,914
Male Between 18-30 Years,1535,1918,1638,4263,8548,5086,601,251,4522,4454,0,1418,11500,40604
Male Between 30-45 Years,1623,864,1008,2558,5166,4589,900,309,4231,3641,0,1263,10641,34103
Male Between 45-60 Years,732,260,222,654,2020,1837,421,88,1804,1380,0,525,3846,12885
Male Above 60 Years,45,8,0,36,206,150,16,8,237,85,0,57,342,1118
Male Total,3957,3222,2900,7697,16372,11717,1944,658,10882,9580,0,3271,26485,89624
Grand Total,4337,3332,3184,7759,16574,12336,2057,680,11588,11135,0,3294,29068,96249
