,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,29,178,138,37,258,22,9,0,64,58,0,0,146,694
Male Between 18-30 Years,1573,2282,3488,3263,13718,6678,2063,233,6620,7603,4,1790,25830,66862
Male Between 30-45 Years,2304,1094,3198,2444,10844,5512,2945,256,7898,6167,12,1051,26957,64407
Male Between 45-60 Years,998,330,1144,354,2876,1717,1393,88,3647,4463,3,823,10527,26641
Male Above 60 Years,84,42,86,3,186,100,82,1,456,380,0,31,386,1727
Male Total,4988,3926,8054,6101,27882,14029,6492,578,18685,18671,19,3695,63846,160331
Grand Total,5680,3926,8752,6109,30662,14448,6861,597,20802,26407,25,3704,67885,177722
