,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,28,162,138,336,1626,48,28,15,396,141,0,37,206,2263
Male Between 18-30 Years,2260,1986,2804,4660,24386,3901,3132,410,30510,12971,0,5249,22230,101965
Male Between 30-45 Years,2237,694,1408,2696,12608,3437,4473,393,26496,8543,0,4526,22349,84371
Male Between 45-60 Years,1025,222,414,675,3342,1124,1462,162,9417,2976,0,1798,10497,32044
Male Above 60 Years,95,16,30,34,212,146,223,15,1436,626,0,128,1159,4076
Male Total,5645,3080,4794,8401,42174,8656,9318,995,68255,25257,0,11738,56441,224719
Grand Total,6399,3328,5110,8552,44212,9441,10100,1042,74884,30433,0,11779,61931,246395
