,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,5,116,126,154,480,72,1,11,71,28,0,0,187,928
Male Between 18-30 Years,304,1492,2788,1698,6312,4470,702,354,2672,3227,0,739,6514,26560
Male Between 30-45 Years,531,1284,2762,2111,8452,5265,1296,399,3611,3622,2,1424,8050,33298
Male Between 45-60 Years,181,356,628,731,2400,1360,632,59,1127,748,0,287,3175,10230
Male Above 60 Years,4,0,14,29,222,98,6,0,151,10,0,1,237,662
Male Total,1025,3248,6318,4723,17866,11265,2637,823,7632,7635,2,2451,18163,71678
Grand Total,1046,3252,6398,4730,18146,11426,2676,825,7795,7697,2,2451,18599,72795
