,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,0,0,0,8,22,12,6,0,36,0,0,0,0,73
Male Between 18-30 Years,4,30,10,7,136,27,2,0,35,8,0,7,40,225
Male Between 30-45 Years,9,20,6,24,16,40,10,5,30,9,0,12,40,200
Male Between 45-60 Years,1,8,0,20,0,8,0,0,20,6,0,2,17,78
Male Above 60 Years,0,0,0,0,0,0,0,0,0,0,0,0,10,10
Male Total,14,58,16,59,174,87,18,5,121,23,0,21,107,586
Grand Total,17,58,16,59,174,95,19,5,125,23,0,21,142,637
