,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,10,30,22,55,130,0,1,0,26,1,0,1,43,238
Male Between 18-30 Years,903,872,1008,1801,4230,0,1128,32,3105,1004,0,989,4732,17186
Male Between 30-45 Years,950,538,614,1434,3308,0,2008,54,3202,826,0,1093,4888,17250
Male Between 45-60 Years,569,176,212,437,1244,0,923,11,1408,345,0,445,2715,8044
Male Above 60 Years,33,0,10,1,6,0,20,0,35,3,0,22,190,328
Male Total,2465,1616,1866,3728,8918,0,4080,97,7776,2179,0,2550,12568,43046
Grand Total,2729,1790,2136,3780,9378,0,4640,101,8460,2746,0,2563,13408,46632
