,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,17,60,20,89,348,291,4,0,160,10,0,0,104,905
Male Between 18-30 Years,743,1156,474,1683,2648,19271,1036,174,11361,3472,0,9,42235,82418
Male Between 30-45 Years,677,910,236,1588,2220,17082,1784,230,10746,4753,0,31,39272,78222
Male Between 45-60 Years,197,300,34,457,816,6934,957,59,5440,1547,0,9,20337,36669
Male Above 60 Years,10,54,2,39,106,1106,145,1,787,334,0,3,2135,4649
Male Total,1644,2480,766,3856,6138,44684,3926,464,28494,10116,0,52,104083,202863
Grand Total,1922,2518,790,3949,6652,46126,4204,466,29634,11628,0,53,105496,209344
