,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,192,208,84,1158,2906,691,46,19,1314,211,0,59,470,5931
Male Between 18-30 Years,4024,3014,2882,16770,33038,23744,4387,672,26253,10218,0,4206,24245,136694
Male Between 30-45 Years,2826,1224,1368,6181,15196,18113,5290,567,16759,8070,0,3850,19718,92038
Male Between 45-60 Years,1188,312,440,1754,4122,7453,2595,245,7565,4083,0,1766,7968,37771
Male Above 60 Years,159,34,40,199,310,1455,409,39,1273,1452,0,67,1243,6631
Male Total,8389,4792,4814,26062,55572,51456,12727,1542,53164,24034,0,9948,53644,279065
Grand Total,9279,5182,5406,26929,58182,57218,13778,1625,58180,33812,0,9983,58364,309672
