,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,0,0,0,4,2,1,0,0,0,0,0,0,0,10
Male Between 18-30 Years,7,22,10,28,40,38,18,4,42,12,0,2,150,342
Male Between 30-45 Years,2,8,4,13,18,9,12,2,30,14,0,0,99,203
Male Between 45-60 Years,0,0,0,4,10,3,1,0,6,3,0,3,26,53
Male Above 60 Years,0,0,0,0,0,0,0,0,3,1,0,0,2,6
Male Total,9,30,14,49,70,51,31,6,81,30,0,5,277,614
Grand Total,12,34,14,49,72,52,31,6,85,30,0,5,332,683
