,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,54,26,22,71,236,33,8,0,40,3,0,1,28,425
Male Between 18-30 Years,2030,874,2040,4959,6890,8242,1563,73,10687,2656,0,249,19185,55716
Male Between 30-45 Years,1934,466,1280,2428,4446,10775,2521,77,10495,3403,0,317,23273,59564
Male Between 45-60 Years,878,178,410,509,1026,5606,1339,73,7444,1891,0,147,11688,30922
Male Above 60 Years,186,20,48,69,114,882,183,7,1260,408,0,13,990,4234
Male Total,5082,1564,3800,8036,12712,25538,5614,230,29926,8361,0,727,55164,150861
Grand Total,5562,1684,3988,8159,13130,28577,6142,236,33469,10446,0,786,58570,164835
