,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,72,60,24,249,856,62,1,1,228,11,0,38,373,1577
Male Between 18-30 Years,2416,1136,2080,3575,11880,7413,1099,319,13772,2232,0,5093,49348,94646
Male Between 30-45 Years,2689,478,1188,2213,6174,5112,2138,307,12591,1816,0,5100,43306,80594
Male Between 45-60 Years,1329,168,338,719,2062,2681,1256,123,5723,876,0,2157,18676,35511
Male Above 60 Years,181,10,26,42,112,166,236,19,882,156,0,135,1998,3963
Male Total,6687,1852,3656,6798,21084,15434,4730,769,33196,5091,0,12523,113701,216291
Grand Total,7076,1924,3924,6847,22246,16725,5150,785,36059,6580,0,12572,122153,232414
