,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,1085,2480,1678,4459,13012,2399,208,85,5429,1063,0,260,7357,32034
Male Between 18-30 Years,45867,33652,68884,75064,199310,147440,43025,5297,235089,100435,10,37426,503522,1372082
Male Between 30-45 Years,37021,16926,35772,41527,115336,117966,49373,4934,189475,73123,24,33809,428143,1082678
Male Between 45-60 Years,17262,5140,10454,10728,32674,50399,23413,1650,83893,32527,4,13921,198494,466274
Male Above 60 Years,2126,288,544,656,2106,6615,2319,146,11669,6165,1,729,22429,55397
Male Total,103361,58486,117332,132434,362438,324819,118338,12112,525555,213313,39,86145,1159945,3008465
Grand Total,112572,60288,122502,134338,375972,346407,124111,12465,567637,263255,46,86494,1223911,3218052
