,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,0,4,0,1,42,0,0,0,0,0,0,0,1,25
Male Between 18-30 Years,40,30,34,72,346,21,39,3,12,9,0,13,178,607
Male Between 30-45 Years,17,10,18,26,132,6,21,0,7,4,0,1,120,294
Male Between 45-60 Years,1,4,0,3,4,3,5,0,1,3,0,3,32,59
Male Above 60 Years,0,2,0,1,0,0,0,0,1,0,0,0,0,3
Male Total,58,50,52,103,524,30,65,3,21,16,0,17,331,988
Grand Total,58,52,58,104,536,30,71,3,21,16,0,17,336,1010
