,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,38,246,170,103,484,24,10,2,19,18,0,0,103,883
Male Between 18-30 Years,13026,4678,29488,8212,22016,22703,17578,477,18103,20151,0,5678,65635,206449
Male Between 30-45 Years,7858,1926,12162,4150,11312,13050,13089,312,10388,10368,0,3979,46596,127285
Male Between 45-60 Years,3904,302,3220,951,2524,6252,6526,55,5213,4741,0,2129,26850,61612
Male Above 60 Years,328,0,74,7,56,769,409,1,316,828,0,39,2593,5427
Male Total,25154,7152,45114,13423,36392,42798,37612,847,34039,36106,0,11825,141777,401656
Grand Total,26849,7186,46090,13446,36582,43526,37768,856,34875,41272,0,11837,143470,412811
