,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,39,46,96,277,870,131,14,2,335,39,0,13,400,1798
Male Between 18-30 Years,1150,812,2898,3914,10066,5866,1505,218,10017,6416,0,1664,38960,77490
Male Between 30-45 Years,1028,326,1218,1902,4562,4398,1963,187,7592,5340,0,1633,33105,60911
Male Between 45-60 Years,420,68,362,514,1180,1670,828,55,3173,2971,0,588,13574,24871
Male Above 60 Years,41,4,26,19,86,231,96,6,360,699,0,37,1197,2780
Male Total,2678,1256,4600,6626,16764,12296,4406,468,21477,15465,0,3935,87236,167850
Grand Total,2776,1294,4844,6733,17158,13040,4825,484,23206,21217,0,3945,92325,182284
