,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,2,42,0,28,56,0,0,0,5,1,0,0,10,95
Male Between 18-30 Years,5,86,8,178,726,0,18,4,62,34,0,18,161,899
Male Between 30-45 Years,11,90,4,60,256,0,14,4,39,36,0,10,87,446
Male Between 45-60 Years,7,24,0,20,112,0,4,2,8,19,0,2,52,188
Male Above 60 Years,0,2,0,2,2,0,0,1,0,0,0,0,1,7
Male Total,25,244,12,288,1152,0,36,11,114,90,0,30,311,1635
Grand Total,25,244,14,291,1238,0,48,11,123,90,0,33,326,1721
