,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,94,130,40,375,984,10,23,3,130,30,0,5,403,1759
Male Between 18-30 Years,904,1210,1036,2529,12494,966,971,72,2637,1457,0,330,10847,28843
Male Between 30-45 Years,467,444,306,861,4728,558,1063,31,1505,762,0,314,6889,15475
Male Between 45-60 Years,77,56,30,57,550,145,288,0,334,95,0,165,2040,3560
Male Above 60 Years,10,10,4,17,18,17,32,0,33,16,0,24,164,336
Male Total,1552,1850,1416,3839,18774,1696,2377,106,4639,2360,0,838,20343,49973
Grand Total,1663,1946,1538,3888,19138,1825,2522,107,4962,2443,0,840,21162,51964
