,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,1179,2610,1718,4834,13996,2409,231,88,5559,1093,0,265,7760,33793
Male Between 18-30 Years,46771,34862,69920,77593,211804,148406,43996,5369,237726,101892,10,37756,514369,1400925
Male Between 30-45 Years,37488,17370,36078,42388,120064,118524,50436,4965,190980,73885,24,34123,435032,1098153
Male Between 45-60 Years,17339,5196,10484,10785,33224,50544,23701,1650,84227,32622,4,14086,200534,469834
Male Above 60 Years,2136,298,548,673,2124,6632,2351,146,11702,6181,1,753,22593,55733
Male Total,104913,60336,118748,136273,381212,326515,120715,12218,530194,215673,39,86983,1180288,3058438
Grand Total,114235,62234,124040,138226,395110,348232,126633,12572,572599,265698,46,87334,1245073,3270016
