,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,163,62,224,174,1066,487,21,1,671,29,0,36,438,2756
Male Between 18-30 Years,6862,1658,7030,3806,10282,20596,2436,788,33482,3204,2,2058,27792,113494
Male Between 30-45 Years,4967,832,3892,3354,6392,13472,3253,613,28083,1862,4,1620,19521,84769
Male Between 45-60 Years,2861,98,1734,704,2756,7072,1545,265,11553,768,0,633,10040,38937
Male Above 60 Years,539,4,122,60,68,613,134,13,1437,141,0,18,2437,5636
Male Total,15392,2654,13002,8098,20564,42240,7389,1680,75226,6004,6,4365,60228,245592
Grand Total,17001,2654,13400,8130,20998,45647,7509,1736,82097,7280,6,4369,65071,264570
