,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,208,558,162,490,994,179,11,5,809,316,0,29,2882,5970
Male Between 18-30 Years,3644,5614,2380,5586,13560,5825,1143,568,31961,9204,2,2987,81032,154952
Male Between 30-45 Years,2917,2478,1134,3016,6932,4427,1539,448,23574,5183,5,2639,58853,109733
Male Between 45-60 Years,1182,702,358,1032,1978,2171,841,151,10315,1980,1,962,27496,48429
Male Above 60 Years,231,64,24,62,166,266,55,11,1672,389,1,75,4189,7189
Male Total,8182,9416,4058,10186,23630,12868,3589,1183,68331,17072,9,6692,174452,326273
Grand Total,9034,9644,4174,10265,24190,13290,3762,1205,72369,20245,10,6729,182439,343857
