,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Harrassment,Human Trafficking,Accident,Others,total
Male Below 18 Years,11,48,28,29,188,34,4,1,26,2,0,0,51,306
Male Between 18-30 Years,856,1024,1392,1141,3950,3501,1038,80,4044,1420,2,396,10150,26654
Male Between 30-45 Years,713,372,896,574,2056,2772,786,50,2641,741,1,431,5660,16640
Male Between 45-60 Years,251,76,274,131,554,1019,314,18,1246,142,0,102,2693,6577
Male Above 60 Years,16,0,8,0,0,141,7,0,106,6,0,2,120,408
Male Total,1847,1520,2598,1875,6748,7467,2149,149,8063,2311,3,931,18674,50585
Grand Total,2024,1560,2736,1899,6976,8046,2211,151,8783,2613,3,944,19670,53770
