DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
AIZAWL,35,690,76,2376,10402,16,671,109,445,362,38,0,180,2602,12686
CHAMPHAI,9,244,14,523,1660,3,91,18,147,88,0,0,16,392,2325
KOLASIB,4,160,32,346,1638,3,86,43,132,81,3,0,52,603,2334
LAWNGTLAI,4,80,12,241,832,6,69,8,80,32,1,0,20,656,1635
LUNGLEI,5,208,20,692,2804,6,117,34,120,107,1,0,11,476,3154
MAMIT,5,94,16,221,488,2,32,24,87,29,15,2,19,166,948
SAIHA,8,66,16,267,1104,10,48,18,124,64,1,0,10,778,1961
SERCHHIP,1,110,6,241,678,2,31,13,81,53,1,1,7,239,1103
TOTAL,71,1652,192,4907,19606,48,1145,267,1216,816,60,3,315,5912,26146
