DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
GARO HILLS EAST,10,58,156,346,708,42,53,33,97,28,1,0,0,446,1771
GARO HILLS SOUTH,0,42,96,92,388,3,33,6,39,10,5,0,12,169,746
GARO HILLS WEST,29,184,374,487,1962,75,176,63,488,151,50,0,124,1093,4303
JAINTIA HILLS,5,472,162,356,1400,1,169,71,408,58,0,0,168,1001,3821
KHASI HILLS EAST,41,694,488,1806,5692,17,852,190,422,180,110,0,291,2150,10108
KHASI HILLS WEST,7,318,76,347,658,5,59,21,89,49,0,0,8,614,1980
RI-BHOI,7,272,106,241,1200,4,68,59,193,56,7,4,79,791,2520
TOTAL,99,2040,1458,3675,12008,147,1410,443,1736,532,173,4,682,6264,25249
