DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
KAVARATTI,0,14,2,39,226,153,3,22,57,5,7,0,0,327,743
TOTAL,0,14,2,39,226,153,3,22,57,5,7,0,0,327,743
