DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
D and N HAVELI,4,112,282,458,1546,260,348,55,318,50,42,0,148,1859,4651
TOTAL,4,112,282,458,1546,260,348,55,318,50,42,0,148,1859,4651
