DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
EAST,21,154,82,537,1148,98,302,37,373,75,32,0,203,933,3443
NORTH SIKKIM,2,14,2,37,106,13,14,4,63,6,1,0,41,160,422
SOUTH SIKKIM,12,140,42,265,524,76,57,21,293,88,15,0,97,545,1887
WEST SIKKIM,5,82,26,108,260,70,50,18,210,61,10,0,81,399,1248
TOTAL,40,390,152,947,2038,257,423,80,939,230,58,0,422,2037,7000
