DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
SULTANPUR,517,530,1112,1459,5206,529,1075,98,3071,306,1023,0,1636,5957,20791
UNNAO,855,900,1918,1117,4486,658,1144,49,2672,669,1426,0,2073,8532,24792
VARANASI,596,344,1336,1935,14726,924,3322,55,2552,174,2111,0,1673,11194,34230
TOTAL,41090,38116,118532,102101,624094,54110,125536,4554,139750,29698,104128,3,113821,626949,1858074
KANSHIRAM NAGAR,192,168,510,165,920,152,249,39,469,145,142,0,449,1522,4803
CSM NAGAR,81,152,566,182,658,150,170,5,599,109,118,0,328,1367,4011
RAMABAI NAGAR,123,102,512,104,618,93,315,16,741,105,230,0,717,2422,5680
BHIM NAGAR,93,114,414,277,950,135,148,2,152,73,125,0,179,1393,3651
PANCHSHIL NAGAR,56,66,330,190,1438,107,284,3,57,47,128,0,368,1410,3824
PRABUDDH NAGAR,46,36,260,149,752,109,141,3,13,27,138,0,123,1046,2554
